time,bus1.v_a,bus1.v_b,bus1.v_c,bus2.v_a,bus2.v_b,bus2.v_c,line1.i_a,line1.i_b,line1.i_c
0.015699999999999849,157.73380852197894,-130.34723493471819,-27.54127528780915,167.07010059206738,-123.71190673314648,-17.039521936103885,8.270571116380383,-13.148634315637342,6.425077085023517
0.015719999999999849,158.17871310297767,-129.53622210267946,-28.794960232196551,158.85774243557196,-118.77998204723798,-14.11410422553603,8.336900787599749,-13.148143769599017,6.3359395035765296
0.015739999999999848,158.61247259986573,-128.71680952903324,-30.045972740342663,161.65556093807317,-120.71531422054504,-18.061894383232808,8.4242673158018526,-13.157257261808631,6.2360903075694258
0.015759999999999847,159.04065896914727,-127.89188559153389,-31.297083574925935,165.48720278603741,-124.35394009469128,-23.71878891292171,8.4767025632695781,-13.14755602935854,6.1539533192502605
0.015779999999999846,159.45837214420715,-127.05909405283883,-32.545817732916277,155.0360189044319,-121.7286715665637,-23.117533652950936,8.5429963498669341,-13.143087448482692,6.0654863778094636
0.015799999999999845,159.8647234805174,-126.2180726536027,-33.791694983105813,155.83949871310833,-125.20202680270124,-28.620509852534969,8.6317659053314504,-13.147935527577888,5.9666108619630513
0.015819999999999845,160.26535216782412,-125.37170830096915,-35.037483634935413,158.91556306730234,-129.82674256878903,-35.28031181520516,8.6863891057353282,-13.13371160037997,5.8857206870192043
0.015839999999999844,160.65553639094495,-124.51769202804206,-36.280755661908977,148.48939749906359,-127.26110817971686,-34.755161453810928,8.7538624496158608,-13.123992442545498,5.7992444752582566
0.015859999999999843,161.03422700325919,-123.65553702963184,-37.520905160835213,149.83439975585293,-129.73283453070812,-39.272633364223488,8.8444370702542159,-13.124124450718362,5.7018414035656697
0.015879999999999842,161.40713584806841,-122.78812444771579,-38.760693711212028,154.69632080962438,-132.80523602330456,-44.395897392960947,8.9007790413650518,-13.10578896270569,5.6218355702028751
0.015899999999999841,161.76971473927028,-121.91319741294849,-39.997744650912892,146.55964778157417,-128.03980530376518,-41.686377518739206,8.9681649942219419,-13.092053830967901,5.536164700404413
0.015919999999999841,162.12074476101785,-121.03016028751259,-41.23134228961662,150.17363704705758,-127.78000896857637,-43.487404686912747,9.0585592958873065,-13.089366182651759,5.4383874240888685
0.01593999999999984,162.46598026517802,-120.14190583321952,-42.46425905220881,157.81901886429907,-128.28751906784905,-46.060504418601795,9.1142183263253731,-13.069302829604371,5.3569325497526723
0.015959999999999839,162.80102605784995,-119.24625874417443,-43.694199045413185,152.15714559351903,-121.15268781450857,-40.995958983404215,9.1789049173330817,-13.054128061088216,5.2695415427705763
0.015979999999999838,163.12446634882124,-118.34254431992059,-44.920366742698285,157.36766367701543,-118.83398959918117,-40.752107850565075,9.2665681981642951,-13.051091551385765,5.1689706664352846
0.015999999999999837,163.44206424054536,-117.43369121085563,-46.145569704719883,166.34601843388506,-118.215282956278,-42.212661150295851,9.3193924122813527,-13.031422729240195,5.0839962937774601
0.016019999999999836,163.74955741679057,-116.51763068657331,-47.367617880843397,161.1179709675626,-110.76417054022912,-36.845150330530906,9.3798278060659879,-13.016331953179204,4.9934139949504699
0.016039999999999836,164.04531996708951,-115.59362728362522,-48.585654269783959,165.50045599897228,-108.81176405020854,-36.980552962525991,9.4639408164734586,-13.013688221204001,4.8893608869297527
0.016059999999999835,164.33510913901733,-114.66465026908956,-49.802526358016294,173.27452038236243,-109.59215539713227,-39.85281078201033,9.513989670478022,-12.994326066978616,4.8010084163107036
0.016079999999999834,164.61479998816498,-113.72873758010468,-51.016150091676998,166.13680792988254,-104.18013009098217,-36.536636843302382,9.5710671339291533,-12.978400758472274,4.7082074148630682
0.016099999999999833,164.88257071964733,-112.78508405435554,-52.225598121028085,167.77982159329505,-104.50656207376609,-38.962771816356117,9.6532146676567532,-12.974489746682375,4.6023867207692346
0.016119999999999832,165.14418492569575,-111.83667756171658,-53.433735906785365,173.08001997581897,-107.9435563617068,-44.503168876497654,9.7026425515693866,-12.953252565358216,4.5128929559864543
0.016139999999999832,165.39568255205552,-110.88163946533909,-54.638562212743459,163.56762989461083,-105.04722610383482,-43.713867483346569,9.7588109425678091,-12.934021545209713,4.4204000575298297
0.016159999999999831,165.63507743451265,-109.91906892762836,-55.839053426803673,162.83797942609411,-107.28727053091524,-48.064434512496803,9.8414212651577504,-12.926342094217409,4.3153690775150491
0.01617999999999983,165.86816090821173,-108.95194136515597,-57.03806199045237,166.81567299784959,-112.21617182093981,-55.107198742097012,9.892421956980515,-12.901009028471588,4.2270115278715208
0.016199999999999829,166.09116471956636,-107.97843776609665,-58.233645746854442,156.76005489074225,-110.0170985470921,-55.025253839797905,9.9493715373318654,-12.876769451191135,4.1365867379508519
0.016219999999999828,166.30196297338398,-106.9975454125229,-59.424668682652545,155.94034757911587,-111.8925042664639,-59.020921974071349,10.033385117164801,-12.864298483747305,4.0334262139968597
0.016239999999999827,166.50637721530029,-106.01221167754831,-60.613954330271412,161.06471617666651,-115.8263674700233,-65.078026805728996,10.086125526478307,-12.83468161388253,3.9464509653832525
0.016259999999999827,166.70083627095698,-105.02067708390688,-61.799620568040623,152.87831755486806,-111.92481675797416,-63.302620813258649,10.143194651327468,-12.806081902973451,3.8575045249363202
0.016279999999999826,166.88307141749428,-104.0218263103795,-62.980427507697911,154.03121623047272,-111.37670050374685,-64.883422011664507,10.227154499572116,-12.790210505508316,3.7548825298235946
0.016299999999999825,167.05891253220614,-103.01859157900081,-64.159183551740853,161.78141695696027,-112.82392339533793,-68.462178933934055,10.279599026021032,-12.758314952706119,3.6673441117216052
0.016319999999999824,167.22496406562789,-102.00929543184151,-65.334087276824718,156.22391428902267,-106.47162804281599,-64.243956881801765,10.334392596454959,-12.727747860809393,3.5775434069251717
0.016339999999999823,167.37879441148615,-100.99274929079871,-66.503825653075197,159.28551988050094,-103.56774990757611,-63.476562027011724,10.415739701310635,-12.710955652242635,3.4730409451333273
0.016359999999999823,167.52620522921859,-99.971895761011154,-67.671217892143275,168.77703648394714,-103.39637742926281,-65.443925461021763,10.46553526997252,-12.679116487979311,3.3826653906695228
0.016379999999999822,167.66395383428849,-98.945164520992336,-68.834568481100803,164.27591481814881,-96.177980694552843,-60.366438779244362,10.516129086109013,-12.648497145943992,3.2901568730918433
0.016399999999999821,167.78942917140191,-97.911319013833932,-69.992516318417714,167.14138439513781,-93.026639711796335,-59.358053832329233,10.593538799190943,-12.632049556402951,3.1825705710902357
0.01641999999999982,167.90838504871428,-96.873318303575417,-71.147896217399676,175.96723217591864,-93.6312267391517,-62.107484439824511,10.640150875637595,-12.600772888983238,3.0889142992471257
0.016439999999999819,168.0177273315787,-95.829709699797007,-72.299130672017071,170.10823757444894,-87.970446797484669,-58.593355979765001,10.686848821593228,-12.569791748983503,2.9940705112273029
0.016459999999999819,168.11467490407458,-94.779204880229372,-73.444806598969336,170.60863200099288,-86.748022248415211,-59.519263831462716,10.761366298121285,-12.552578031487503,2.8845745740324737
0.016479999999999818,168.20493887657551,-93.724765522444358,-74.587760818936047,177.07739096408883,-89.807808941246947,-64.728904439652496,10.806533074119629,-12.520113244889748,2.7894521188217389
0.016499999999999817,168.28559710101314,-92.665035468086003,-75.726512250175446,168.85455464056912,-86.717310681591329,-63.789700827993705,10.851529177109532,-12.486566478804267,2.694541262850557
0.016519999999999816,168.35372618314153,-91.598652007631912,-76.859573212907918,166.76561041433607,-87.648815848499794,-66.873815630161644,10.925527720683441,-12.466162997424309,2.5856241533885633
0.016539999999999815,168.41501752692238,-90.528549941260437,-77.989753466261178,171.45115557243463,-92.580911389120899,-73.959675516471293,10.97157145444389,-12.430162086124342,2.4914487963116168
0.016559999999999814,168.46674809183449,-89.453443981679072,-79.11564263478698,162.19094817183424,-90.743319420091183,-74.276920718301582,11.016865886539733,-12.392033332905459,2.3985529547415112
